group,count,mae,rmse,mean_error
EFL League One,139,0.5920847789301019,0.8179251982548453,0.06788579525989562
EFL League Two,118,0.6195645269278753,0.8105825795810384,0.10246263023699392
LALIGA HYPERMOTION,86,0.6299250834759572,0.8610672725678681,-0.24384005126010902
EFL Championship,126,0.6450865357085602,0.8124688870309749,-0.1233382993769883
Premier League,130,0.6470804431679416,0.8277547028953384,-0.21352104145853948
Eredivisie,99,0.7057987577798203,0.9388146705709479,-0.06430753603859735
Ligue 1 McDonald's,90,0.7312064955106625,0.9060490712967129,-0.2762975729517393
Bundesliga 2,104,0.7470035047751383,0.988676222259391,0.18627731083019466
LALIGA EA SPORTS,105,0.7494850305778892,0.9757821969659718,-0.33532312581598384
Bundesliga,84,0.7758366767161391,1.0309542461174344,-0.027626591166767984
PKO BP Ekstraklasa,86,0.8016578073089708,1.0125892684494038,-0.1254279715762268
MLS,172,0.8096159141246353,1.089026849717676,0.18738070279204014
3. Liga,112,0.8216382543547718,1.172710530395098,0.30344884108946696
Serie A Enilive,105,0.8385373737373736,1.1658821732693723,-0.13625143269428916
LPF,163,0.8435726945174808,1.0897875263215884,-0.08215033109358197
Other,1856,0.8454114464319205,1.1234413167967765,0.028751183472897634
