group,count,mae,rmse,mean_error
GK,403,0.5381097155532644,0.7702555220715251,-0.021852782522137022
CB,650,0.6519923176823176,0.9043877315214067,0.0717393345543349
ST,495,0.7806800454035306,1.0253018884855978,0.10679878547378542
LB,267,0.7881497884138331,1.0442610915512986,-0.38684391939728763
LM,212,0.8134298238449192,1.0684510535771374,-0.2701871988074807
CDM,275,0.8373040325331254,1.1123023692062517,-0.15578586776859557
LW,73,0.8382414309434867,1.0986594713968045,0.02789200715570604
RM,196,0.8788546765026335,1.1020202264312238,-0.33550016565067386
CAM,207,0.8894809298994074,1.1058784872214378,0.3186913815518886
RB,279,0.9068114418436991,1.1664968521481331,-0.4562897841903205
RW,74,0.9301445536445524,1.203073485294362,0.0030631995632017252
CM,444,1.0077491235303733,1.3023027390154172,0.5101626198188701
