feature,importance_mean,importance_std
num__Ball Control,0.3948433897072535,0.01618725305197935
num__DEF,0.15933687861650717,0.003871516487500072
num__PHY,0.14748862959190906,0.004828960671173289
num__PAS,0.02482675440646074,0.0009067666899698889
num__Acceleration,0.009116720698458147,0.00019855435884803078
num__Crossing,0.0067820393173010805,0.00013532922215493378
num__Sliding Tackle,0.005907150901529712,0.000196513841172922
num__DRI,0.004836906872826141,0.00017322090841787673
num__Composure,0.003933004801868778,0.00016071734214081974
num__Stamina,0.003786516759515868,0.00013993991912368062
num__Jumping,0.0028404249917671543,0.00014259683374198036
num__Finishing,0.0023469890128819506,0.00016987992215436963
num__SHO,0.0020446359520863043,0.00015089764019960857
num__Strength,0.0015807281852624256,5.765039486556376e-05
num__Long Passing,0.001398359744557731,7.13971834954402e-05
num__Positioning,0.0011820898319951033,6.1600177681987e-05
num__Heading Accuracy,0.0009354841942199154,3.333240264645303e-05
num__Skill moves,0.0009350408759249751,6.999599576783464e-05
num__Shot Power,0.0006752292472892663,3.276804174296137e-05
num__Sprint Speed,0.0006059376561657892,2.9926676803907563e-05
num__Free Kick Accuracy,0.0005136396154525657,4.084635909780825e-05
num__Curve,0.00048664099045452324,2.9152812330523907e-05
num__Weak foot,0.00046649898940154255,5.3772134108081505e-05
num__Def Awareness,0.0004336950043734245,3.6413933921277896e-05
num__Aggression,0.00042235749289045723,3.483338287055577e-05
num__Standing Tackle,0.000346909397440931,3.9351815178112265e-05
num__Interceptions,0.00022963272289751037,2.428329166042437e-05
num__Long Shots,0.00019259720678979075,3.8617074115734817e-05
num__Reactions,0.00017367219273718427,2.8443129981760908e-05
num__Agility,0.00017291263834671167,1.0004388285464568e-05
num__GK Kicking,0.00012483082190068996,9.467428214654534e-06
num__Balance,0.00011909385294204267,2.7565511599257818e-05
num__weight_kg,0.00011807104096326349,5.8530681767989694e-06
num__GK Positioning,0.00010733888389431456,5.509502488174412e-06
num__Volleys,0.00010679778739299816,7.219000138763841e-06
num__Short Passing,0.00010051273835209873,1.735490220285482e-05
cat__Position_CAM,9.18513352430983e-05,3.883830490991304e-06
num__Dribbling,8.961954415382944e-05,5.6083737704355095e-06
num__Penalties,8.486492939465684e-05,1.3265545351919244e-05
cat__GENDER_F,7.294200860783474e-05,1.002022297227746e-05
