feature,importance_mean,importance_std
num__PAS,0.42329927291544733,0.01696897821235183
num__Composure,0.0860469577251188,0.003585047380532599
num__DEF,0.024138952164321936,0.0012567289060220093
num__Finishing,0.019071159961764915,0.0006128902810646495
num__Ball Control,0.011364564110695242,0.0007391481631661474
num__Stamina,0.008843186213588794,0.00028623128603479873
num__Shot Power,0.004209782771635551,0.00023181389470715695
num__Crossing,0.0022633698438561554,0.00016047444469015674
num__Long Passing,0.0020186175090916914,0.00022493800428045725
num__DRI,0.0018780173431748094,0.00019173962556188844
num__Positioning,0.0017850189556400276,0.00017227303773932235
num__Agility,0.0017509520113034415,0.00012504488989733493
num__SHO,0.0016544879825538539,0.00022736778809597815
num__Sprint Speed,0.001015151531443248,0.00011901245047642205
num__Acceleration,0.0005780598715201979,8.12089046140409e-05
num__Long Shots,0.0005469623951541713,3.948673463552966e-05
num__Skill moves,0.0005202036699401225,7.566726219557617e-05
num__Free Kick Accuracy,0.0004900141113302281,9.629726533071964e-05
num__Def Awareness,0.0004864821354065629,3.06836721024195e-05
num__Curve,0.00033069530975406993,5.634461467434119e-05
num__Strength,0.0003029875789899661,2.6571694285593525e-05
num__Balance,0.00021857058677701157,2.53261047275876e-05
num__Volleys,0.000217980534111617,1.4454232072139303e-05
num__Interceptions,0.00017290432220504748,9.076428380887584e-05
num__Aggression,0.00015445709361199266,6.907420809925332e-05
num__Penalties,0.00010297200730724487,1.1300425756073965e-05
cat__GENDER_F,9.452562916263396e-05,2.1950242001975295e-05
num__Vision,6.993275304878477e-05,1.5896872960064405e-05
num__Reactions,6.870646065395558e-05,3.139254605140231e-05
num__Dribbling,6.811885366611036e-05,2.6561346342039926e-05
num__PHY,6.536694510423935e-05,1.7651216476317098e-05
num__Weak foot,5.6580721439392076e-05,4.131005419578763e-05
num__Short Passing,4.842335017836152e-05,1.2130352461843041e-05
num__height_cm,4.7000833577759414e-05,7.827902811377469e-06
cat__Preferred foot_Right,4.6152826243939235e-05,1.5021789257032884e-05
cat__Preferred foot_Left,2.7566642704468513e-05,1.0713949047882915e-05
cat__Position_ST,1.8294486859216087e-05,4.370373568366624e-05
num__Standing Tackle,1.6274397441762288e-05,1.462109572324453e-05
num__weight_kg,1.4753091542574203e-05,9.825213994293943e-06
cat__GENDER_M,5.928378873654161e-06,7.052386552904583e-06
cat__Position_LW,4.703809812300897e-06,5.224908008473165e-06
num__Age,2.4767869657660314e-06,1.0350237574462074e-05
num__PAC,2.1150147839321674e-06,1.583755018082492e-06
cat__Position_RW,1.2910311297353872e-06,2.9022066166659502e-06
num__Sliding Tackle,-1.538153198863412e-05,2.586031944721866e-05
num__Heading Accuracy,-3.10398754626906e-05,1.8896793774591826e-05
num__Jumping,-6.217598010709313e-05,1.408350995661431e-05
