feature,importance_mean,importance_std
num__PHY,0.6380072327377502,0.019061394626755893
num__DEF,0.026050595506062278,0.0014794773460890366
num__Heading Accuracy,0.02101671086688508,0.0005147049200626067
num__Ball Control,0.011359315881221632,0.00035904571368753924
num__Sliding Tackle,0.0072833098570470375,0.0004614001421078649
num__Crossing,0.007006046070381,0.00028546072577547777
num__Acceleration,0.006357916887043435,0.000519311422581094
num__Composure,0.00564924179363564,0.0003944029845409074
num__Strength,0.0054684601579489955,0.0002659479454332611
num__SHO,0.002971418861652575,0.00023539405368554125
num__Stamina,0.0026353023882439873,0.00014482990746245774
num__Long Passing,0.002450940364013987,0.00017752817075734377
num__DRI,0.002449153123185166,0.00028415588464081554
num__Jumping,0.0023139575638186248,9.684996784232092e-05
num__Positioning,0.0020366001823417966,0.00018682320820396784
num__Sprint Speed,0.0012995210045709138,4.250857747168221e-05
num__Weak foot,0.0012647808952167328,8.99543657676894e-05
num__Aggression,0.0009696568773070568,0.00010415728359884514
num__Skill moves,0.0006616401688272156,7.084536131699388e-05
num__Agility,0.00034589515756009435,5.498938533965314e-05
num__Finishing,0.0002881695215616986,1.491081435307047e-05
num__Dribbling,0.00024512439014481304,1.917750391007533e-05
num__Def Awareness,0.0002229926217267364,3.6455983767574634e-05
num__Balance,0.00020667102734748256,2.333631203720578e-05
num__Curve,0.00015863953526722429,4.095170541379198e-05
num__Interceptions,0.00013879584166334168,1.649144969812842e-05
num__Standing Tackle,0.0001382540136845467,1.103428083658996e-05
num__Long Shots,0.0001021171711044655,1.4149772260165893e-05
num__PAS,7.5280883643436e-05,1.4267172175043563e-05
num__Volleys,7.023086767177222e-05,1.3613980633084567e-05
cat__GENDER_F,6.524845344346719e-05,1.6388369573743793e-05
cat__Position_RB,3.8367535861971726e-05,9.902816568540696e-06
num__Short Passing,3.4422754669583e-05,2.6048968576323254e-05
num__Penalties,3.058877872150756e-05,1.2482646063322786e-05
cat__Position_CB,2.5882376615227188e-05,1.4620341615748007e-05
cat__Preferred foot_Right,2.3441612448271698e-05,1.4639747934655134e-05
num__Shot Power,2.2993502638457564e-05,1.5316249346507404e-05
cat__GENDER_M,1.935052734136633e-05,9.449897326101765e-06
num__height_cm,1.441374536650386e-05,5.76872471307116e-06
num__Reactions,1.1598547626712196e-05,9.322150628305268e-06
num__Free Kick Accuracy,9.491101466130302e-06,3.066719232583629e-05
cat__Preferred foot_Left,9.393807197000115e-06,8.469322063852639e-06
num__Age,8.281202660431752e-06,5.658324478355894e-06
num__Vision,7.179500836951291e-06,2.4128033776646038e-05
cat__Position_LB,-1.370613961326761e-06,2.9922455805452877e-07
num__PAC,-6.8078267989157835e-06,9.126843387529993e-07
num__weight_kg,-9.99466381415015e-06,9.896192988061438e-06
