feature,importance_mean,importance_std
num__Acceleration,0.055798145626740105,0.0017880241930408839
cat__Position_GK,0.047063893533356584,0.0013818186187700048
num__DEF,0.03881731276512117,0.0021405234802305425
cat__Preferred foot_Left,0.03531045480756401,0.0020004204520077213
num__SHO,0.022193316417335796,0.0016356869096189693
num__weight_kg,0.02009036768440995,0.0016233460534997464
num__Ball Control,0.010848169301316535,0.0003441591443778006
cat__GENDER_F,0.006817766274227033,0.00027540825157451414
num__PAS,0.006688512595212126,0.00019329262849171212
cat__GENDER_M,0.0003725179982968951,3.8684269671109266e-05
num__DRI,0.00036618861852466544,4.584640923514684e-05
num__Long Shots,0.00020505316002505936,1.930400681363883e-05
num__Free Kick Accuracy,5.9619080024542195e-05,1.4636275876386275e-05
num__Positioning,5.418281448412721e-05,2.4882845317842993e-05
num__Stamina,5.040808241238981e-05,1.867136193808473e-05
cat__Preferred foot_Right,3.7201873130610075e-05,1.1684530995854054e-05
num__Long Passing,3.507552584038898e-05,1.330248893479137e-05
num__GK Positioning,2.8310961646815792e-05,1.923426307846978e-06
num__Volleys,2.7204130090008328e-05,1.565029357763591e-05
num__PHY,2.5965910425806982e-05,6.2095436044032866e-06
num__Dribbling,2.3945350576703994e-05,7.584150847762637e-06
num__Vision,2.088358736902496e-05,5.906620581010379e-06
num__Finishing,1.6365678914609383e-05,1.260096570952824e-05
num__GK Reflexes,1.5714892073415143e-05,6.6628872576286586e-06
num__Age,1.494078856869585e-05,8.841316800546471e-06
num__Standing Tackle,1.4334914322722269e-05,7.349730680559916e-06
num__Composure,1.2011828592539686e-05,1.2289266764864957e-05
num__Strength,9.899050742268044e-06,1.0923670560738611e-05
num__Agility,9.400867427489246e-06,1.0850262263263186e-05
num__GK Kicking,8.728769234211952e-06,1.1545771425800228e-05
num__Interceptions,5.272324259086858e-06,1.4934877225904456e-05
num__Penalties,3.4814157978679816e-06,9.101261557492253e-06
num__PAC,3.2489430480842076e-06,3.7830295779642524e-07
num__Balance,2.3550212780998336e-06,2.949137645288655e-05
num__GK Handling,7.856043719556283e-07,2.456274981058906e-06
num__Crossing,4.883665505994728e-07,8.007501264240376e-06
num__height_cm,0.0,0.0
num__Skill moves,0.0,0.0
num__GK Diving,0.0,0.0
num__Reactions,-1.650008661813196e-06,9.174734119522271e-06
cat__League_3. Liga,-7.379301333543253e-06,1.5503988103309688e-05
num__Shot Power,-7.559654535049809e-06,7.396201741977746e-06
num__Short Passing,-8.737787386992046e-06,8.983763648130088e-06
num__Jumping,-1.005932926285702e-05,8.451040960908137e-06
num__Sliding Tackle,-1.280210604288623e-05,9.931966325309721e-06
num__Heading Accuracy,-1.3095825303066633e-05,1.3543324715120468e-05
num__Aggression,-1.3105069380880963e-05,1.4594124651001463e-05
num__Weak foot,-1.3931028209479556e-05,1.850355408092115e-05
cat__League_Bundesliga,-1.4586703024677128e-05,5.6653382563662635e-06
num__Def Awareness,-1.6427350277536946e-05,2.3240564343635612e-05
num__Curve,-3.526822968040744e-05,8.584815453031635e-06
num__Sprint Speed,-3.794898748346043e-05,9.767278715532443e-06
