feature,importance_mean,importance_std
num__Composure,0.4525085290378108,0.02056033621160867
num__Ball Control,0.05286975317679725,0.001623041143805935
num__PHY,0.03338139700450182,0.0015748968302093632
num__DEF,0.0113186817849243,0.0004993644026666751
num__Finishing,0.00789867197132077,0.00019560537463653594
num__DRI,0.006956656547115925,0.0005442957082998637
num__Skill moves,0.004043821374828416,0.0002227562474742348
num__Long Passing,0.0035928448099172617,0.00018929217750960963
num__Strength,0.0035741273701597855,0.0002440365446571115
num__Crossing,0.0034035099363984413,0.00012735503929050548
num__Free Kick Accuracy,0.002339122802874494,0.00012602811454866478
num__Heading Accuracy,0.0021422966111914964,0.00018181970998666942
num__SHO,0.001964360169080459,0.00011568282377478705
num__PAS,0.001740012350809006,0.00010366884923318739
num__Positioning,0.0016214129865984805,0.00012870250469264818
num__Curve,0.0015090516009027776,8.734361857974322e-05
num__Agility,0.0014223712350468932,0.00010480025487799887
num__Sliding Tackle,0.0014187006910417299,0.00012734313540882324
num__Stamina,0.0013787951096263962,0.0002692587822385252
num__Shot Power,0.001366164521339841,5.029729606839906e-05
num__Acceleration,0.0010344939135745967,0.00014913569856676598
num__Sprint Speed,0.0009774065492320627,0.00011679758859806903
num__Standing Tackle,0.0009197799938833295,9.332561135007063e-05
num__Jumping,0.0006460867197705556,0.00010492753186522067
num__Volleys,0.0003054037531589726,4.477562935670169e-05
num__Interceptions,0.00025093227704995333,2.5392299138535184e-05
num__Weak foot,0.0002501142360899156,3.852295149850487e-05
num__Def Awareness,0.00014422774448086262,3.630227440241202e-05
num__Aggression,0.00013251052315141899,3.823259585964167e-05
num__Long Shots,0.00013168247266257538,3.774916397774027e-05
cat__GENDER_F,7.458617462181571e-05,1.8079227240754626e-05
num__Balance,6.124067018451474e-05,1.8046313871320447e-05
num__height_cm,4.292709372322179e-05,2.064587321601172e-05
num__Short Passing,3.786067204463173e-05,2.2307103285875565e-05
cat__Position_CAM,3.637667619014184e-05,7.729058302176097e-06
cat__Position_CM,2.934571731896263e-05,1.2567461534368248e-05
num__Dribbling,2.0567356354250776e-05,2.8409082666330844e-05
num__Vision,1.540210760404559e-05,1.8460137431705596e-05
cat__Position_LM,1.0126449416958395e-05,3.3303269222955896e-05
num__weight_kg,6.618622701104471e-06,5.618173637776739e-06
cat__Position_CDM,2.636795617250165e-06,5.258468011585749e-07
cat__GENDER_M,1.0866621277250132e-06,4.414357164022688e-06
num__Penalties,-2.6954822290869984e-06,1.8764642205090385e-05
num__PAC,-3.034688783776218e-06,2.5154902803271552e-06
num__Age,-9.131381602278666e-06,7.821998495212978e-06
num__Reactions,-1.0005782385635875e-05,1.5565968099391106e-05
cat__Position_RM,-2.782095416571373e-05,1.9406423733757338e-05
