iter	RMSE
0	6.730915604
1	6.427856725
2	6.128954271
3	5.844214208
4	5.583879121
5	5.33419983
6	5.101727742
7	4.883524481
8	4.670729548
9	4.476961865
10	4.293688389
11	4.113747249
12	3.943877519
13	3.790908764
14	3.650262605
15	3.511155926
16	3.37685963
17	3.253360557
18	3.130403415
19	3.015870337
20	2.911466356
21	2.804767724
22	2.707376103
23	2.621996243
24	2.536428858
25	2.453660549
26	2.378243453
27	2.307187871
28	2.240703104
29	2.173814434
30	2.114422842
31	2.059361166
32	2.004356243
33	1.951030399
34	1.901080239
35	1.854855442
36	1.809685812
37	1.771148253
38	1.731826162
39	1.693989694
40	1.65963159
41	1.627097182
42	1.598105956
43	1.571829756
44	1.544747244
45	1.520321839
46	1.495913715
47	1.475258044
48	1.45550223
49	1.4354246
50	1.417490205
51	1.398800894
52	1.381994154
53	1.366888964
54	1.352286594
55	1.338558976
56	1.325286839
57	1.312826197
58	1.300555823
59	1.289092668
60	1.277678959
61	1.268008634
62	1.257740042
63	1.248123232
64	1.240215446
65	1.231683733
66	1.223043974
67	1.21603783
68	1.209184706
69	1.201653533
70	1.193280553
71	1.187368718
72	1.181711965
73	1.175418886
74	1.170824262
75	1.162733588
76	1.157867957
77	1.152197289
78	1.146307045
79	1.140172067
80	1.135425562
81	1.131630756
82	1.125735172
83	1.121163761
84	1.116036856
85	1.111027346
86	1.106317708
87	1.101415339
88	1.097213257
89	1.091687159
90	1.086909145
91	1.083393376
92	1.07806637
93	1.074609746
94	1.072022494
95	1.067750543
96	1.063822656
97	1.060402047
98	1.055375172
99	1.050333693
100	1.046798411
101	1.043836038
102	1.040220096
103	1.03691223
104	1.034171509
105	1.030131035
106	1.026154337
107	1.022647477
108	1.019838737
109	1.016516059
110	1.012788557
111	1.009082906
112	1.004627874
113	1.001794524
114	0.9991635739
115	0.9961626892
116	0.993581122
117	0.9897936406
118	0.9873308424
119	0.9822829724
120	0.9798682605
121	0.9756610958
122	0.9727197676
123	0.9700666031
124	0.9673601036
125	0.9634252272
126	0.960818605
127	0.9576941124
128	0.955017143
129	0.9521294645
130	0.9490853727
131	0.9467400017
132	0.9436960224
133	0.9414179245
134	0.9392663091
135	0.9367498941
136	0.9345773183
137	0.9323094358
138	0.9296221086
139	0.9268839975
140	0.9240286362
141	0.9217380867
142	0.9194478038
143	0.9170972737
144	0.9139858235
145	0.9111486257
146	0.9084177698
147	0.906020768
148	0.9037545623
149	0.9009920766
150	0.8985293958
151	0.8958920839
152	0.8938449792
153	0.8919678997
154	0.8890966436
155	0.8871751854
156	0.8850221574
157	0.8831104777
158	0.8804546853
159	0.8788643263
160	0.8767301989
161	0.8742468597
162	0.8727681077
163	0.8707188338
164	0.8679328727
165	0.8650707868
166	0.8627180274
167	0.8601501172
168	0.8583931425
169	0.8557508212
170	0.8535378473
171	0.8517055535
172	0.848568078
173	0.8468015868
174	0.8449436118
175	0.8427878845
176	0.8410625777
177	0.8395032431
178	0.8377803849
179	0.8347680266
180	0.832082865
181	0.8300770208
182	0.827552877
183	0.8254330944
184	0.8234185449
185	0.8217172044
186	0.8199684361
187	0.817808233
188	0.8149894785
189	0.8136259058
190	0.8114839653
191	0.8092764751
192	0.8064872197
193	0.8049277206
194	0.8030169679
195	0.8009493866
196	0.7987814056
197	0.7972262004
198	0.7955625972
199	0.7937956534
200	0.7922468557
201	0.7900316655
202	0.7881127283
203	0.7862012703
204	0.7842643153
205	0.7820190518
206	0.780667276
207	0.7788971381
208	0.7769205582
209	0.775522447
210	0.7738737994
211	0.7724618941
212	0.77063231
213	0.7687585113
214	0.7673976886
215	0.7654195702
216	0.7639069957
217	0.7624634599
218	0.7604855899
219	0.7587434846
220	0.7572978546
221	0.7561478591
222	0.7544805909
223	0.7526696184
224	0.7502761234
225	0.749089724
