iter	Passed	Remaining
0	3	3277
1	7	3269
2	10	3207
3	14	3185
4	17	3184
5	21	3142
6	24	3097
7	27	3060
8	30	3033
9	34	3048
10	37	3016
11	40	3013
12	43	2993
13	47	3013
14	51	3004
15	53	2970
16	56	2950
17	60	2951
18	63	2947
19	66	2938
20	70	2930
21	73	2915
22	76	2914
23	80	2919
24	83	2916
25	86	2912
26	89	2903
27	93	2895
28	96	2887
29	99	2886
30	103	2881
31	106	2877
32	109	2871
33	112	2871
34	116	2869
35	119	2868
36	123	2868
37	126	2865
38	129	2854
39	133	2853
40	136	2857
41	139	2852
42	143	2860
43	147	2854
44	150	2850
45	153	2841
46	156	2833
47	160	2836
48	163	2830
49	166	2823
50	169	2820
51	173	2818
52	176	2814
53	179	2808
54	182	2804
55	186	2798
56	189	2795
57	192	2785
58	195	2781
59	198	2774
60	201	2764
61	204	2757
62	207	2753
63	211	2751
64	214	2747
65	217	2739
66	220	2736
67	223	2729
68	226	2722
69	230	2722
70	233	2721
71	236	2715
72	239	2712
73	243	2711
74	246	2705
75	250	2704
76	253	2699
77	256	2696
78	259	2688
79	262	2683
80	265	2680
81	268	2674
82	272	2676
83	275	2671
84	278	2666
85	281	2660
86	285	2657
87	287	2649
88	290	2643
89	294	2641
90	297	2636
91	300	2630
92	303	2627
93	306	2624
94	309	2616
95	312	2609
96	315	2605
97	318	2598
98	321	2593
99	324	2592
100	327	2588
101	331	2584
102	334	2582
103	337	2579
104	341	2575
105	344	2573
106	347	2570
107	351	2567
108	354	2564
109	357	2562
110	360	2556
111	363	2553
112	367	2550
113	370	2546
114	373	2541
115	376	2536
116	379	2532
117	382	2528
118	385	2525
119	388	2521
120	391	2516
121	395	2515
122	398	2512
123	401	2508
124	405	2505
125	408	2502
126	411	2499
127	414	2496
128	417	2491
129	420	2486
130	424	2484
131	427	2481
132	431	2479
133	434	2478
134	437	2473
135	440	2470
136	443	2465
137	447	2462
138	449	2457
139	453	2452
140	456	2448
141	459	2444
142	462	2440
143	464	2434
144	468	2432
145	471	2428
146	474	2423
147	477	2421
148	480	2417
149	483	2413
150	486	2407
151	489	2403
152	493	2401
153	496	2397
154	499	2394
155	502	2389
156	505	2386
157	508	2383
158	512	2381
159	514	2375
160	518	2371
161	521	2369
162	524	2365
163	527	2362
164	531	2359
165	534	2355
166	537	2352
167	540	2348
168	543	2345
169	546	2341
170	550	2339
171	553	2336
172	557	2335
173	560	2331
174	563	2326
175	566	2324
176	569	2319
177	572	2315
178	575	2311
179	579	2309
180	582	2305
181	585	2302
182	588	2298
183	591	2296
184	594	2292
185	597	2289
186	600	2284
187	604	2281
188	607	2279
189	611	2277
190	613	2272
191	617	2270
192	620	2268
193	624	2264
194	627	2260
195	630	2257
196	633	2255
197	636	2251
198	639	2247
199	642	2243
200	646	2240
201	649	2237
202	652	2235
203	656	2232
204	659	2229
205	662	2225
206	665	2222
207	668	2218
208	671	2214
209	674	2210
210	677	2206
211	680	2202
212	683	2198
213	686	2195
214	689	2191
215	693	2189
216	696	2186
217	699	2183
218	703	2180
219	706	2177
220	709	2174
221	712	2170
222	715	2167
223	718	2163
224	722	2161
225	725	2156
226	728	2153
227	731	2150
228	734	2146
229	737	2142
230	740	2139
231	744	2137
232	747	2133
233	750	2130
234	753	2127
235	757	2124
236	760	2122
237	764	2119
238	767	2115
239	770	2112
240	773	2109
241	777	2106
242	780	2103
243	783	2100
244	787	2097
245	790	2095
246	793	2092
247	797	2089
248	800	2086
249	803	2083
250	807	2081
251	810	2078
252	813	2074
253	817	2071
254	820	2069
